term,ccode,section,instructor,org,expl_lvl,q_treat,visual,oral,help,interest,overall,attend,assign,notes,textbook,new_mat,assign_amt,outside,num_resp,enrolled,resp_rate
1131,['ACTSC 231'],1,Anne Mackay,1.6,2.8732394366197185,1.536231884057971,1.5915492957746482,1.676056338028169,1.5263157894736843,1.7761194029850746,1.6478873239436618,1.2253521126760565,1.5882352941176472,1.3582089552238803,2.036363636363636,2.782608695652174,2.901639344262295,2.2794117647058822,71,184,0.3858695652173913
1131,['ACTSC 231'],51,Carole Bernard,1.7272727272727273,2.9090909090909087,2.090909090909091,1.7,2.0,1.4444444444444444,1.7,1.818181818181818,1.0,1.3,1.625,1.3333333333333333,2.5454545454545454,2.8181818181818183,2.0,11,18,0.6111111111111112
1131,['ACTSC 232'],1,James Adcock,1.3608247422680413,2.8041237113402064,1.4536082474226804,1.5670103092783505,1.268041237113402,2.0,1.641304347826087,1.3917525773195876,1.154639175257732,1.6041666666666667,1.5161290322580645,1.8651685393258424,2.6597938144329896,2.927835051546392,2.0,97,143,0.6783216783216783
1131,['ACTSC 331'],1,Rocky Cui,1.8510638297872342,2.7446808510638303,2.0434782608695654,1.9787234042553192,2.108695652173913,1.5151515151515151,1.8666666666666667,1.9361702127659572,1.2978723404255321,1.5,1.5862068965517242,1.8780487804878048,2.6595744680851063,2.7555555555555555,2.0212765957446805,47,95,0.49473684210526314
1131,['ACTSC 371'],1,Brent Matheson,2.2210526315789467,2.8210526315789477,2.0,2.4526315789473685,2.2421052631578946,2.565217391304348,2.0705882352941183,2.333333333333333,1.3297872340425532,1.7419354838709675,1.9090909090909087,2.271428571428572,2.851063829787234,3.0212765957446814,1.903225806451613,95,236,0.4025423728813559
1131,['ACTSC 371'],51,Carole Bernard,1.5555555555555556,3.111111111111111,2.0,2.0,2.1111111111111107,1.875,1.375,1.6666666666666667,1.6666666666666667,1.875,1.0,2.0,3.0,3.111111111111111,1.6666666666666667,9,17,0.5294117647058824
1131,['ACTSC 372'],1,Peter Wood,1.4356435643564356,2.623762376237624,1.4,1.5742574257425743,1.3861386138613858,1.7121212121212122,1.59,1.4554455445544554,1.2277227722772277,1.6666666666666667,1.7857142857142858,2.103896103896104,2.7623762376237617,2.891089108910891,1.93,101,174,0.5804597701149425
1131,"['ACTSC 433', 'ACTSC 833']",1,Jun Cai,1.7230769230769232,2.859375,2.262295081967213,1.9230769230769231,2.476923076923077,2.3529411764705883,1.8333333333333333,1.984375,1.1384615384615384,1.4153846153846157,1.5789473684210529,2.1666666666666665,2.907692307692308,2.707692307692308,1.96875,65,107,0.6074766355140186
1131,"['ACTSC 446', 'ACTSC 846']",1,Ruodo Wang,2.3084112149532707,2.5576923076923075,1.990566037735849,2.6448598130841123,2.679245283018868,2.0,2.03125,2.2621359223300965,1.4579439252336448,1.7757009345794392,1.8194444444444444,2.370967741935484,2.5384615384615383,2.8446601941747574,2.038095238095238,107,178,0.601123595505618
1131,"['ACTSC 453', 'ACTSC 853']",1,Rick Johnston,2.0689655172413794,2.9655172413793105,1.9310344827586208,2.433333333333333,2.3666666666666667,2.3529411764705883,1.9655172413793105,2.1666666666666665,1.1333333333333333,1.6666666666666667,1.8695652173913044,2.0,2.9,2.933333333333333,1.9666666666666663,30,81,0.37037037037037035
1131,"['ACTSC 462', 'ACTSC 862']",1,Scott Lennox,1.5753424657534247,2.780821917808219,1.7857142857142858,1.8493150684931507,1.6575342465753424,2.333333333333333,1.9,1.7534246575342465,1.2465753424657535,1.3928571428571428,1.6724137931034482,1.7173913043478262,2.8695652173913038,3.1694915254237284,1.6712328767123288,73,111,0.6576576576576577
1131,['AMATH 231'],1,Conrad Hewitt,1.4897959183673468,2.8163265306122454,1.6326530612244898,1.7959183673469388,1.4489795918367347,1.2608695652173914,1.7346938775510203,1.3469387755102042,1.0816326530612246,1.5102040816326532,1.6041666666666667,1.6666666666666667,2.9183673469387754,2.9183673469387754,2.395833333333333,49,72,0.6805555555555556
1131,"['AMATH 242', 'CS 371']",1,Lucian Ivan,2.341463414634146,2.775,2.128205128205128,2.65,2.435897435897436,2.055555555555556,2.3076923076923075,2.41025641025641,1.3902439024390243,2.048780487804878,1.6153846153846154,2.0,2.6923076923076925,2.609756097560976,2.4878048780487805,41,72,0.5694444444444444
1131,['AMATH 250'],1,Joe West,1.2342342342342345,2.90990990990991,1.3727272727272728,1.3063063063063065,1.18018018018018,1.7671232876712328,1.7980769230769231,1.2162162162162162,1.2342342342342345,1.5545454545454545,1.9222222222222225,1.9655172413793105,2.90990990990991,2.63963963963964,2.0825688073394497,111,197,0.5634517766497462
1131,"['AMATH 331', 'PMATH 331']",1,Lilia Krivodonova,2.176470588235294,2.606060606060606,2.0294117647058822,2.3529411764705883,2.4705882352941178,2.0625,2.2424242424242418,2.2058823529411766,1.2352941176470589,1.7352941176470589,2.142857142857143,2.333333333333333,2.735294117647059,2.8823529411764706,2.147058823529412,34,52,0.6538461538461539
1131,"['AMATH 332', 'PMATH 332']",1,Kamyar Moshksar,2.7096774193548385,2.161290322580645,2.6451612903225805,2.6451612903225805,2.806451612903226,1.7222222222222223,2.333333333333333,2.8666666666666667,1.2758620689655171,2.0689655172413794,2.0,1.6666666666666667,2.3448275862068964,2.2068965517241383,2.607142857142857,31,50,0.62
1131,['AMATH 342'],1,Hans De Sterck,1.3157894736842106,2.8947368421052637,1.368421052631579,1.6842105263157894,1.5789473684210529,1.6666666666666667,1.7894736842105263,1.4736842105263157,1.2105263157894737,1.5263157894736843,2.0,2.0,3.0,3.0,2.2105263157894743,19,21,0.9047619047619048
1131,['AMATH 350'],1,David Harmsworth,1.3333333333333333,2.743589743589744,1.3076923076923077,1.3636363636363635,1.263157894736842,1.673469387755102,1.9154929577464788,1.3076923076923077,1.2564102564102564,1.551282051282051,1.7464788732394363,1.7368421052631582,2.6052631578947367,2.8461538461538463,2.1538461538461537,78,118,0.6610169491525424
1131,['AMATH 353'],1,Conrad Hewitt,2.2424242424242418,2.7741935483870965,1.870967741935484,2.636363636363636,1.9375,2.6,2.1515151515151514,2.121212121212121,1.2727272727272727,1.875,1.75,2.0,2.8181818181818183,2.4516129032258065,2.9393939393939394,33,54,0.6111111111111112
1131,['AMATH 361'],1,Michael Waite,1.2285714285714286,3.0,1.3428571428571427,1.4,1.2857142857142858,1.3478260869565215,1.7428571428571429,1.2571428571428571,1.2571428571428571,1.7352941176470589,2.225806451612903,2.333333333333333,3.0285714285714285,3.3823529411764706,2.2,35,45,0.7777777777777778
1131,['AMATH 373'],1,Zoran Miskovic,2.6666666666666665,2.5,2.4285714285714284,2.8571428571428568,2.333333333333333,1.6666666666666667,1.8571428571428568,2.380952380952381,1.2857142857142858,1.761904761904762,1.5714285714285714,1.8,2.619047619047619,2.619047619047619,2.75,21,33,0.6363636363636364
1131,['AMATH 391'],1,Edward Vrscay,1.6666666666666667,2.7333333333333334,1.4285714285714286,1.9333333333333331,1.5714285714285714,1.125,1.6428571428571428,1.6666666666666667,1.6,1.7857142857142858,1.5,2.142857142857143,2.8,2.6923076923076925,2.2142857142857144,15,20,0.75
1131,['AMATH 451'],1,David Siegel,1.5238095238095235,3.0,1.7142857142857142,1.619047619047619,1.761904761904762,2.1666666666666665,1.75,1.5238095238095235,1.3333333333333333,1.5,1.9375,1.5,3.05,2.9,2.5,21,33,0.6363636363636364
1131,"['AMATH 455', 'AMATH 655']",1,Don Chang,2.5,2.555555555555556,2.764705882352941,2.055555555555556,2.176470588235294,2.636363636363636,1.8333333333333333,2.411764705882353,1.1666666666666667,1.9411764705882355,1.6666666666666667,2.3846153846153846,2.9444444444444446,3.5882352941176467,1.8333333333333333,18,24,0.75
1131,"['AMATH 475', 'AMATH 675', 'PHYS 476']",1,Florian Girelli,1.8837209302325584,2.627906976744186,1.5348837209302326,2.023809523809524,1.761904761904762,1.88,1.3902439024390243,1.7441860465116281,1.3488372093023255,1.5116279069767442,1.8421052631578947,1.8461538461538465,2.761904761904762,2.6744186046511627,2.8571428571428568,43,60,0.7166666666666667
1131,['CO 227'],1,Patrick Roh,1.4375,2.71875,2.290322580645161,1.7333333333333334,1.75,2.185185185185185,1.9,1.8125,1.2258064516129032,1.5,1.9444444444444444,2.272727272727273,2.7333333333333334,2.9354838709677415,2.1935483870967745,32,62,0.5161290322580645
